word,reading,meaning,thai_meaning
壊れる,こわれる,"to be broken, to break","พัง, พัง"
揺れる,ゆれる,"to shake, to sway",สั่นไหว
落る,おちる,"to fall, to drop","ล้ม, หล่น"
悲しい,かなしい,"sad, sorrowful",เศร้า เสียใจ
祈る,いのる,to pray; to wish,อธิษฐาน; ความปรารถนา
起こす,おこす,to wake (someone) up,เพื่อปลุก (บางคน) ให้ตื่น
噛む,かむ,"to bite, to chew","กัด, เคี้ยว"
浅い,あさい,"shallow, superficial",ตื้นผิวเผิน
思う,おもう,"to think, to feel",คิดรู้สึก
時代,じだい,"age, period, epoch, era",อายุ ยุคสมัย ยุคสมัย
迎える,むかえる,to welcome; to meet; to greet,ยินดีต้อนรับ; พบกัน; ทักทาย
触る,さわる,"to touch, to feel","สัมผัส, รู้สึก"
捕まえる,つかまえる,"to catch, to arrest","จับ, จับกุม"
寄る,よる,to stop by,เพื่อแวะมา
決まる,きまる,to be set; fixed (v.i.),ที่จะตั้งค่า; คงที่ (vi.)
逃げる,にげる,"to escape, to run away","หนี, วิ่งหนี"
丁寧,ていねい,"polite, courteous, careful","สุภาพ, สุภาพ, ระมัดระวัง"
怖い,こわい,"scary, frightening",น่ากลัวน่ากลัว
包む,つつむ,"to wrap, to cover",ห่อเพื่อปกปิด
飾る,かざる,"to decorate, to adorn","ประดับ, ประดับ"
恥ずかしい,はずかしい,"ashamed, embarrassed",เขินอาย
頑張る,がんばる,"to try one's best, to try hard, to persist",พยายามอย่างเต็มที่ พยายามอย่างหนัก อดทน
投げる,なげる,"to pitch, to cast away","ขว้าง, โยนทิ้งไป"
受ける,うける,"to take (an examination, interview, etc.); to receive",ที่จะทำ (การสอบ สัมภาษณ์ ฯลฯ ); ที่จะได้รับ
間違える,まちがえる,to make a mistake,ที่จะทำผิดพลาด
場合,ばあい,"case, situation",กรณี สถานการณ์
足りる,たりる,to be sufficient; to be enough,ให้เพียงพอ; ถึงจะเพียงพอ
行う,おこなう,to carry out; to conduct (typically used in written language),ดำเนินการ; เพื่อดำเนินการ (โดยทั่วไปจะใช้ในภาษาเขียน)
無くなる,なくなる,"to disappear, to get lost","หายไป, หายไป"
世界,せかい,world,โลก
倍,ばい,double,สองเท่า
痩せる,やせる,to lose weight,ลดน้ำหนัก
決める,きめる,to decide (v.t.),ตัดสินใจ (v.t.)
調べる,しらべる,to check; to look up; to inquire; to search,เพื่อตรวจสอบ; เงยหน้าขึ้นมอง; สอบถาม; เพื่อค้นหา
光る,ひかる,"to shine, to glitter",ส่องแสงแวววาว
美しい,うつくしい,"beautiful, lovely",สวย น่ารัก
試合,しあい,"match, game, competition",การแข่งขัน เกม การแข่งขัน
素晴らしい,すばらしい,wonderful; terrific,มหัศจรรย์; ยอดเยี่ยมมาก
お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow,การแสดงความรู้สึกขอบคุณ ขอบคุณ; ของขวัญแห่งความขอบคุณ โค้งคำนับ
知らせる,しらせる,to notify,เพื่อแจ้งเตือน
始める,はじめる,"to start, to begin",เพื่อเริ่มต้นเพื่อเริ่มต้น
もらう,もらう,to receive,ที่จะได้รับ
泣く,なく,to cry,ร้องไห้
治る,なおる,to get better; to recover from illness (v.i.),ให้ดีขึ้น; หายจากโรคภัยไข้เจ็บ (vi.)
匂い,におい,"odor, smell",กลิ่นกลิ่น
おかしい,おかしい,strange; odd; funny,แปลก; แปลก; ตลก
残る,のこる,"to remain (v.i.), to be left",ยังคงอยู่ (v.i.) ทิ้งไว้
立てる,たてる,"to stand (something) up, to erect (something)",ยืน (บางสิ่ง) ขึ้น สร้าง (บางสิ่ง)
くれる,くれる,"to give, to do for",ให้ทำเพื่อ
驚く,おどろく,"to be surprised, to be astonished",ต้องประหลาดใจ ต้องประหลาดใจ
漬ける,つける,"to soak, to moisten, to pickle","แช่, ชุบ, ดอง"
増える,ふえる,"to increase, to multiply","เพื่อเพิ่ม, คูณ"
選ぶ,えらぶ,to choose; to select,ที่จะเลือก; เพื่อเลือก
届ける,とどける,to deliver (v.t.),ส่งมอบ (v.t.)
以内,いない,"within, less (no more) than",ภายใน น้อยกว่า (ไม่เกิน)
予定,よてい,"plans, arrangement, schedule",แผน การจัดเตรียม กำหนดการ
乾く,かわく,to get dry,ให้แห้ง
思い出す,おもいだす,"to recall, to remember","จำ, จำ"
踊る,おどる,to dance,เต้น
細かい,こまかい,"small; fine, minute",เล็ก; ได้เลย นาทีนี้
塗る,ぬる,"to paint, to plaster","ทาสี, ฉาบปูน"
珍しい,めずらしい,"unusual, rare","ไม่ธรรมดา, หายาก"
用意,ようい,preparation,การเตรียมตัว
探す,さがす,"to search, to seek, to look for","เพื่อค้นหา, แสวงหา, มองหา"
寂しい,さびしい,"lonely, lonesome",เหงา เหงา
育てる,そだてる,to raise (v.t.); to bring up,ยก (v.t.); เพื่อนำมา
お祝い,おいわい,"congratulation, celebration",การแสดงความยินดี การเฉลิมฉลอง
通う,かよう,to go back and forth; to commute,กลับไปกลับมา; เพื่อเดินทาง
連れる,つれる,"to lead, to take (a person)","เป็นผู้นำ, รับ (คน)"
進む,すすむ,"to advance, to proceed",เพื่อก้าวหน้าเพื่อดำเนินการต่อ
楽む,たのしむ,to enjoy,เพลิดเพลินไปกับ
反対,はんたい,"oppose, opposition, resistance","ต่อต้าน, ต่อต้าน, ต่อต้าน"
泊まる,とまる,to stay (over night) (v.i.),อยู่ (ข้ามคืน) (vi.)
よろしい,よろしい,"(hon.) good, OK, all right",(ที่รัก) ดี โอเค เอาล่ะ
喜ぶ,よろこぶ,"to rejoice, to be delighted, to be glad","ชื่นชมยินดี, ชื่นชมยินดี"
引っ越す,ひっこす,to move to a new place of residence,เพื่อย้ายไปยังที่อยู่อาศัยใหม่
亡くなる,なくなる,to pass away,ที่จะจากไป
凄い,すごい,"terrific, great",สุดยอดเลยครับ
片付ける,かたづける,"to (clean) tidy up (v.t.), to put away",(ทำความสะอาด) จัดระเบียบ (v.t.) ทิ้ง
写す,うつす,to copy (v.t.); to photograph,คัดลอก (v.t.); เพื่อถ่ายภาพ
足す,たす,to add (numbers),เพื่อเพิ่ม (ตัวเลข)
教会,きょうかい,church,โบสถ์
一杯,いっぱい,"full, to the utmost",เต็มที่ที่สุด
男性,だんせい,man; male,ผู้ชาย; ชาย
暮れる,くれる,"to get dark, to come to an end",มืดมนต้องจบลง
釣る,つる,to fish,ตกปลา
打つ,うつ,"to hit, to strike","ตี, ตี"
謝る,あやまる,to apologize,เพื่อขอโทษ
女性,じょせい,woman,ผู้หญิง
国際,こくさい,international,ระหว่างประเทศ
ひどい,ひどい,"terrible, awful, unfair, cruel",แย่มาก แย่มาก ไม่ยุติธรรม โหดร้าย
叱る,しかる,to scold,จะดุ
びっくりする,びっくりする,to be surprised,ต้องแปลกใจ
うまい,うまい,delicious; skillful; fortunate,อร่อย; เก่ง; โชคดี
変える,かえる,"to change, to alter, to vary",เปลี่ยนแปลง เปลี่ยนแปลง เปลี่ยนแปลง
沸かす,わかす,to boil,ต้ม
空く,あく,"to open, to become empty (vacant)",เปิดให้ว่างเปล่า (ว่าง)
経済,けいざい,"economics, finance, economy",เศรษฐศาสตร์การเงินเศรษฐกิจ
変わる,かわる,"to change (v.i.), to be transformed, to vary",เปลี่ยนแปลง (vi.) เปลี่ยนแปลง เปลี่ยนแปลง
以外,いがい,"other than, with the exception of, excepting",นอกเหนือจาก ยกเว้น ยกเว้น
済む,すむ,"to finish, to end","จบ, จบ"
見える,みえる,to be visible; -- polite verb meaning 来る (くる) --,มองเห็นได้; -- กริยาสุภาพ แปลว่า 来RU (くる) --
大体,だいたい,approximately; in most cases; in general; to begin with (same as もともと),ประมาณ; ในกรณีส่วนใหญ่ โดยทั่วไป; เริ่มต้นด้วย (เหมือนกับ もともと)
折れる,おれる,"to break, to be folded, to give in; to turn (a corner)","หัก, พับ, ยอมจำนน; เลี้ยว (มุม)"
正しい,ただしい,correct,ถูกต้อง
伝える,つたえる,"to convey (a message); to tell, to report",ถ่ายทอด (ข้อความ); เพื่อบอกเพื่อรายงาน
説明,せつめい,explanation,คำอธิบาย
滑る,すべる,"to slide, to slip","เลื่อน, เลื่อน"
それほど,それほど,to that degree; extent,ถึงระดับนั้น; ขอบเขต
具合,ぐあい,"condition, state, health",สภาพ สถานะ สุขภาพ
堅,かたい,"solid, hard, firm","แข็ง, แข็ง, มั่นคง"
送る,おくる,"to send, to dispatch",เพื่อส่งเพื่อส่ง
あげる,あげる,to give,ที่จะให้
騒ぐ,さわぐ,"to make noise, to clamor","ส่งเสียงดัง, ส่งเสียงโห่ร้อง"
尋ねる,たずねる,to inquire (same as 質問する),เพื่อสอบถาม (เหมือนกับ 質問した)
負ける,まける,"to lose (a game) (v.i.), to be defeated",แพ้ (เกม) (vi.) พ่ายแพ้
見つける,みつける,"to discover, to find (v.t.)","ค้นพบ, ค้นพบ (v.t.)"
高校生,こうこうせい,high school student,นักเรียนมัธยมปลาย
下りる,おりる,"to get down, to go; come down",ลงไปไป; ลงมา
似る,にる,"to resemble, to be similar",คล้ายกัน คล้ายกัน
割合,わりあい,"rate, ratio, percentage",อัตรา อัตราส่วน เปอร์เซ็นต์
慣れる,なれる,to grow accustomed to,ที่จะคุ้นเคยกับ
手伝う,てつだう,to help,เพื่อช่วย
笑う,わらう,"to laugh, to smile",หัวเราะยิ้ม
運ぶ,はこぶ,"to transport, to carry",ในการขนส่งเพื่อดำเนินการ
お見舞い,おみまい,"calling on someone who is ill, visit",โทรหาคนป่วยเยี่ยมชม
下る,さがる,"to descend, to drop, to fall","ล้ม, ล้ม, ล้ม"
褒める,ほめる,to praise; to say nice things,สรรเสริญ; ที่จะพูดสิ่งดีๆ
合う,あう,"to fit, to match",เพื่อให้พอดีเพื่อให้เข้ากัน
展覧会,てんらんかい,exhibition,นิทรรศการ
遅れる,おくれる,to (be) become late,(จะ) มาสาย
見つかる,みつかる,"to be found (v.i.), to be discovered",ที่จะพบ (vi.) ที่จะค้นพบ
太る,ふとる,to gain weight,เพื่อเพิ่มน้ำหนัก
直る,なおる,to be fixed,ที่จะได้รับการแก้ไข
集める,あつめる,"to collect, to gather (v.t.), to assemble","รวบรวม, รวบรวม (v.t.), รวบรวม"
直す,なおす,to correct (v.t.); to fix,แก้ไข (v.t.); เพื่อแก้ไข
続く,つづく,to be continued,มีต่อ
先輩,せんぱい,senior members of a group,สมาชิกอาวุโสของกลุ่ม
将来,しょうらい,(in the) future; prospects,(ในอนาคต; โอกาส
払う,はらう,to pay,ที่จะจ่าย
焼ける,やける,"to burn, to be roasted","เผา, ย่าง"
冷える,ひえる,"to grow cold, to cool down","เย็นขึ้น, เย็นลง"
点く,つく,"to be started, to be switched on","ที่จะเริ่มต้น, ที่จะเปิด"
続ける,つづける,"to continue, to keep up",เพื่อดำเนินการต่อเพื่อให้ทัน
落す,おとす,"to drop, to lose","หล่น, แพ้"
割れる,われる,to break,ที่จะทำลาย
いじめる,いじめる,"to bully, to torment",กลั่นแกล้งทรมาน
眠い,ねむい,"sleepy, drowsy",ง่วงนอน
濡れる,ぬれる,to get wet,เปียก
倒れる,たおれる,"to collapse, to break down",พังทลายลง
考える,かんがえる,to think (about); to consider,คิด (เกี่ยวกับ); เพื่อพิจารณา
向かう,むかう,"to face, to go towards",เผชิญหน้าไปทาง
失敗,しっぱい,"failure, mistake",ความล้มเหลว ความผิดพลาด
移る,うつる,to move (from a house); to transfer (from a department); to shift,ย้าย (จากบ้าน); โอน (จากแผนก); เพื่อเลื่อน
紹介,しょうかい,an introduction,บทนำ
動く,うごく,to move,เพื่อย้าย
優しい,やさしい,"kind (person), gentle (person), easy (problem)","ใจดี (คน), อ่อนโยน (คน), ง่าย (ปัญหา)"
植える,うえる,to plant,ที่จะปลูก
汚れる,よごれる,to become dirty,กลายเป็นสกปรก
水泳,すいえい,swimming,ว่ายน้ำ
勝つ,かつ,to win,ที่จะชนะ
取り替える,とりかえる,"to exchange, to replace",เพื่อแลกเปลี่ยนเพื่อแทนที่
急ぐ,いそぐ,"to hurry, to be in a hurry, to rush",รีบเร่งรีบ
間に合う,まにあう,to be in time for,ให้ทัน
役に立つ,やくにたつ,"to be helpful, to be useful",มีประโยชน์ มีประโยชน์
戻る,もどる,to return (v.i.); to come back,กลับ (vi.); ที่จะกลับมา
込む,こむ,to be crowded,ที่จะแออัด
訪ねる,たずねる,to visit,เพื่อเยี่ยมชม
